Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES
475,INSTITUTO BRASILEIRO DE MEDICINA DE REABILITACAO LTDA,42.365.445/0001-15,Privada com fins lucrativos,712,CENTRO UNIVERSITÁRIO IBMR,-,(21) 3544-1106,www.ibmr.br,regulatorio@animaeducacao.com.br,Avenida das Américas - 2603 - CEP: 22631-002 - Barra da Tijuca,Rio de Janeiro,RJ,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1981-01-30,5,2018,4,2017,4,2019,,,,Ativa
14675,UNICA EDUCACIONAL LTDA,10.739.240/0001-66,Privada com fins lucrativos,3610,Centro Universitário ICESP (Unicesp),Unicesp,(61) 30359534,www.icesp.edu.br,angelica@icesp.edu.br,Quadra QS 5 Rua 300 - Lote 01 - CEP: 71961-540 - Águas Claras,Brasília,DF,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1995-03-23,4,2018,-,,4,2019,,,,Ativa
2112,INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL DO ALTO URUGUAI LTDA,03.323.948/0001-76,Privada com fins lucrativos,3339,Centro Universitário IDEAU (UNIDEAU),UNIDEAU,(54) 3341 6600,https://www.getulio.ideau.com.br/,pesquisa@ideau.com.br,Rua Jacob Gremmelmaier - 215 - CEP: 99900-000 - Centro,Getúlio Vargas,RS,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2004-09-06,4,2019,-,,3,2019,,,,Ativa
16258,INSTITUTO DE ADMINISTRACAO & GESTAO EDUCACIONAL LTDA,11.010.877/0001-80,Privada com fins lucrativos,19512,Centro Universitário Imepac - Araguari,-,(34)3249-3900,www.imepac.edu.br,divaniafreitas@imepac.edu.br,Avenida Minas Gerais - 1.889 - CEP: 38440-042 - Centro,Araguari,MG,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2004-01-30,5,2019,5,2019,4,2019,,,,Ativa
945,UNIDADE DE ENSINO SUPERIOR INGA LTDA,01.207.056/0001-84,Privada com fins lucrativos,1430,CENTRO UNIVERSITÁRIO INGÁ (UNINGÁ),UNINGÁ,(44) 3033 5009,www.uninga.edu.br,reitoria@uninga.edu.br;proreitoria@uninga.edu.br,Gleba Ribeirão Morangueiro - 21 - CEP: 87035-510 - Gleba Morangueiro,Maringá,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1999-12-30,3,2014,4,2015,4,2019,,,,Ativa
1390,ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS,03.365.403/0001-22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,2111,CENTRO UNIVERSITÁRIO INTA (UNINTA),UNINTA,(88) 3112.3500,www.uninta.edu.br,prodi@uninta.edu.br; diretoria@uninta.edu.br,Rua Coronel Antônio Rodrigues Magalhães - 700 - CEP: 62011-230 - Dom Expedito,Sobral,CE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,2003-07-08,4,2016,5,2019,3,2019,,,,Ativa
2944,CEI - CENTRO EDUCACIONAL INTEGRADO LTDA,79.264.628/0001-54,Privada com fins lucrativos,1078,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO,-,(44) 3518 2500,www.grupointegrado.br,pi@grupointegrado.br,Avenida Irmãos Pereira - 670 - CEP: 87301-010 - Centro,Campo Mourão,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1997-12-23,4,2017,5,2017,3,2019,,,,Ativa
981,UNINTER EDUCACIONAL S/A,02.261.854/0001-57,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1491,CENTRO UNIVERSITÁRIO INTERNACIONAL (UNINTER),UNINTER,(41) 21024944,www.uninter.com,benhur.g@uninter.com;pi@uninter.com,Rua do Rosário - 147 - CEP: 80020-110 - Centro,Curitiba,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2000-05-05,4,2015,5,2017,4,2019,,,,Ativa
145,INSTITUICAO EDUCACIONAL PROFESSOR PASQUALE CASCINO,43.371.723/0001-00,Privada sem fins lucrativos,206,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO (UNIÍTALO),UNIÍTALO,(11) 5645-0073,www.italo.br,marcial.chaves@italo.br,Avenida João Dias - 2046 - CEP: 04724-003 - Santo Amaro,São Paulo,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,1972-05-05,3,2015,4,2014,3,2019,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,4153,Centro Universitário Joaquim Nabuco de Recife (UNINABUCO RECIFE),UNINABUCO RECIFE,(81) 3413-4611,www.uninabuco.edu.br,emec@sereducacional.com,Avenida Guararapes - 283 - CEP: 50010-000 - Santo Antônio,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2007-10-23,4,2016,4,2019,3,2019,,,Credenciamento EaD Provisório,Ativa
805,ASBEC-SOCIEDADE BAIANA DE EDUCACAO E CULTURA LTDA,01.120.386/0001-38,Privada com fins lucrativos,1185,CENTRO UNIVERSITÁRIO JORGE AMADO (UNIJORGE),UNIJORGE,(71) 3206-8002,http://www.unijorge.edu.br,reitoria@unijorge.edu.br,Avenida Luis Vianna Filho - 6775 - CEP: 41820-725 - Paralela,Salvador,BA,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1998-09-29,4,2011,4,2013,3,2019,,,,Ativa
417,SOCIEDADE PORVIR CIENTIFICO,92.741.990/0001-37,Privada sem fins lucrativos,1936,CENTRO UNIVERSITÁRIO LA SALLE (UNILASALLE - LUCAS),UNILASALLE - LUCAS,(65)3549-7300,www.faculdadelasalle.edu.br,marcos.corbellini@lasalle.edu.br;orlandi@faculdadelasalle.edu.br,Avenida Universitária - 1000W - CEP: 78455-000 - Parque das Emas,Lucas do Rio Verde,MT,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,2001-12-10,5,2018,-,,3,2019,,,,Ativa
1150,ASSOCIACAO BRASILEIRA DE EDUCADORES LASSALISTAS,60.916.731/0001-03,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1736,CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO (UNILASALLE/RJ),UNILASALLE/RJ,(21) 2199-6600,http://www.unilasalle.edu.br/rj/,jardelino.menegat@lasalle.org.br,Rua Gastão Gonçalves - 79 - CEP: 24240-030 - Santa Rosa,Niterói,RJ,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,,4,2017,-,,3,2019,,,,Ativa
1177,SOCIEDADE EDUCACIONAL DO VALE DO ITAPOCU S/S LTDA.,03.819.722/0001-60,Privada com fins lucrativos,1777,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIVINCI),UNIVINCI,(47) 3281 - 9005,www.uniasselvi.com.br,ddi@uniasselvi.com.br; diretoria.uniasselvi@uniasselvi.com.br;,Rodovia Br 280 Km 60 - 15885 - CEP: 89270-000 - Imigrantes,Guaramirim,SC,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2001-07-23,4,2018,5,2019,3,2019,,,,Ativa
821,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI S/S LTDA,01.894.432/0001-56,Privada com fins lucrativos,1472,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI),UNIASSELVI,(47) 3301 9000,www.uniasselvi.com.br,"ddi@uniasselvi.com.br; diretoria@uniasselvi.com.br;rosimar.muller@uniasselvi.com,br",R Rua Doutor Pedrinho - 79 - CEP: 89082-262 - Rio Morto,Indaial,SC,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1998-11-16,5,2019,5,2019,3,2019,,,Em Supervisão - Medida Cautelar,Ativa
164,FUNDACAO LUSIADA,58.207.572/0001-26,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,226,CENTRO UNIVERSITÁRIO LUSÍADA (UNILUS),UNILUS,(13) 3202 4500,www.lusiada.br,unilus@lusiada.br,Armando de Salles Oliveira - 150 - CEP: 11050-071 - Boqueirão,Santos,SP,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1965-02-01,3,2017,3,2015,3,2019,,,,Ativa
314,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A. EM RECUPERACAO JUDICIAL,88.332.580/0001-65,Privada com fins lucrativos,452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS (CEULM/ULBRA),CEULM/ULBRA,(92) 3616 9800,www.ulbra.br/manaus,reitor.manaus@ulbra.br;procinstitucional@ulbra.br;coordensino.mao@ulbra.br,AVENIDA CARLOS DRUMMOND DE ANDRADE - 1460 - CEP: 69077-730 - JAPIIM,Manaus,AM,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1996-01-30,4,2017,-,,3,2019,,,,Ativa
314,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A. EM RECUPERACAO JUDICIAL,88.332.580/0001-65,Privada com fins lucrativos,453,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS (CEULP),CEULP,(63) 3219 8018,www.ulbra-to.br,reitoria@ceulp.edu.br;procuradorainstitucional@ceulp.edu.br,CEULP - Centro Universitário Luterano de Palmas - s/n - CEP: 77019-900 - Plano Diretor Sul,Palmas,TO,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1996-01-29,3,2011,-,,4,2019,,,,Ativa
314,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A. EM RECUPERACAO JUDICIAL,88.332.580/0001-65,Privada com fins lucrativos,451,CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM (CEULS),CEULS,(93) 3524 1055,www.ulbra.br/santarem,procinstitucional@ulbra.br;reitor.santarem@ulbra.br;ensino.stm@ulbra.br;celsotanabe@yahoo.com.br,AVENIDA SERGIO HENN - 1787 - CEP: 68025-000 - DIAMANTINO,Santarém,PA,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1996-01-30,3,2019,-,,3,2019,,,,Ativa
964,FUNDACAO CARMELITANA MARIO PALMERIO,02.345.421/0001-80,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1459,CENTRO UNIVERSITÁRIO MÁRIO PALMÉRIO (UNIFUCAMP),UNIFUCAMP,(34) 3842 5272,www.unifucamp.edu.br,unifucamp@unifucamp.edu.br,Avenida Brasil Oeste - s/n - CEP: 38500-000 - Jardim Zenith II,Monte Carmelo,MG,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,2000-03-09,5,2018,-,,3,2019,,,,Ativa
1290,"FAPEC - FUNDACAO ALAGOANA DE PESQUISA, EDUCACAO E CULTURA",01.073.457/0001-99,Privada sem fins lucrativos,1965,Centro Universitário Mario Pontes Jucá (UMJ),UMJ,(82) 3328 7000.32147700,www.umj.edu.br,maceju@uol.com.br,Avenida Presidente Roosevelt - 1200 - CEP: 57046-410 - Serraria,Maceió,AL,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,2002-01-24,4,2019,4,2018,3,2019,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (UNINASSAU),UNINASSAU,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Rua Guilherme Pinto - 114 - CEP: 52011-210 - Graças,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2003-05-15,5,2018,5,2019,3,2019,,,,Ativa
2587,SOCIEDADE DE ENSINO SUPERIOR E DE PESQUISA DE SERGIPE LTDA - SESPS,06.787.789/0001-59,Privada sem fins lucrativos,4121,CENTRO UNIVERSITÁRIO MAURICIO DE NASSAU DE ARACAJU,-,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Avenida Augusto Franco - s/n - CEP: 49075-100 - Siqueira Campos,Aracaju,SE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,2008-05-21,5,2019,5,2018,3,2019,,,Credenciamento EaD Provisório,Ativa
2447,INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA,05.933.016/0001-70,Privada com fins lucrativos,3879,Centro Universitário Maurício de Nassau de Campina Grande (UNINASSAU CPV),UNINASSAU CPV,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Rua Vice-Prefeito Antônio de Carvalho Sousa - s/n - CEP: 58410-050 - Estação Velha,Campina Grande,PB,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2007-01-18,4,2017,4,2019,3,2019,,,Credenciamento EaD Provisório,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,14321,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE FORTALEZA (UNINASSAU FORTALEZA),UNINASSAU FORTALEZA,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Avenida Visconde do Rio Branco - 2078 - CEP: 60055-171 - Joaquim Távora,Fortaleza,CE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2011-10-25,5,2019,-,,3,2019,,,"Credenciamento EaD Provisório, Unificação de Mantidas",Ativa
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada sem fins lucrativos,3817,Centro Universitário Maurício de Nassau de João Pessoa,-,(81) 3413-4611,www.mauriciodenassau.edu.br,emec@sereducacional.com,Avenida Presidente Epitácio Pessoa - 67 - CEP: 58030-000 - Estados,João Pessoa,PB,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,2007-01-18,4,2018,-,,3,2019,,,Unificação de Mantidas,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,1504,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ (UNINASSAUMACEI?),UNINASSAUMACEI?,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Rua Professor Sandoval Arroxelas - 239 - CEP: 57035-230 - Ponta Verde,Maceió,AL,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,2000-03-23,4,2015,4,2016,3,2019,,,Unificação de Mantidas,Ativa
737,ABES - SOCIEDADE BAIANA DE ENSINO SUPERIOR LTDA,32.697.294/0001-49,Privada sem fins lucrativos,1055,Centro Universitário Maurício de Nassau de Salvador (Uninassau Salvador),Uninassau Salvador,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Rua dos Marçons - 364 - CEP: 41810-205 - Pituba,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1998-02-16,5,2017,4,2021,3,2019,,,Unificação de Mantidas,Ativa
1108,CENTRO DE ENSINO SUPERIOR PIAUIENSE LTDA,03.371.400/0001-00,Privada com fins lucrativos,1683,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE TERESINA,-,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Avenida Joquei Clube - 710 - CEP: 64049-240 - Joquei Clube,Teresina,PI,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1999-09-01,5,2018,4,2021,3,2019,,,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,4118,Centro Universitário Maurício de Nassau Paulista (UNINASSAU PAULISTA),UNINASSAU PAULISTA,(81) 3413-4611,www.uninassau.edu.br,emec@sereducacional.com,Avenida Senador Salgado Filho - s/n - CEP: 53401-440 - Centro,Paulista,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2007-04-30,4,2017,-,,3,2019,,,Credenciamento EaD Provisório,Ativa
1399,INSTITUTO DE ENSINO SUPERIOR DE INDAIATUBA LTDA,03.791.661/0001-70,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,2123,CENTRO UNIVERSITÁRIO MAX PLANCK (UniMAX),UniMAX,(19) 3885 9900,www.faculdademax.edu.br,diretoria@faj.br;anaclaudia@faj.br,Avenida Nove de Dezembro - 460 - CEP: 13343-060 - Jardim Pedroso,Indaiatuba,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2002-02-04,4,2017,5,2018,3,2019,,,,Ativa
304,INSTITUTO PORTO ALEGRE DA IGREJA METODISTA,93.005.494/0001-88,Privada sem fins lucrativos,4010,CENTRO UNIVERSITÁRIO METODISTA (IPA),IPA,(51) 33161100,http://www.metodistadosul.edu.br,reitoria@ipa.metodista.br;sgeral@metodista.br,Rua Coronel Joaquim Pedro Salgado - 80 - CEP: 90420-060 - Rio Branco,Porto Alegre,RS,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1971-08-04,3,2013,-,,3,2019,,,Adesão ao PROIES,Ativa
154,INSTITUTO METODISTA IZABELA HENDRIX,17.217.191/0001-40,Privada sem fins lucrativos,216,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX (CEUNIH),CEUNIH,(31) 3244-7269,www.izabelahendrix.edu.br,sgeral@metodista.br,Rua da Bahia - 2.020 - CEP: 30160-012 - Funcionários,Belo Horizonte,MG,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1972-07-27,4,2008,3,2015,3,2019,,,,Ativa
1223,IBMEC EDUCACIONAL LTDA.,04.298.309/0001-60,Privada com fins lucrativos,2279,Centro Universitário Metrocamp Wyden (UniMetrocamp Wyden),UniMetrocamp Wyden,19 45012613,www.unimetrocamp.com.br,cgunimetrocampw@gmail.com;regulatorio.nacional@estacio.br;maria.mota@yduqs.com.br;francis.irineu@yd,Rua Doutor Sales de Oliveira - 1661 - CEP: 13035-270 - Vila Industrial,Campinas,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2002-12-31,4,2017,5,2019,3,2019,,,,Ativa
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,4450,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA (UNIFAMAZ),UNIFAMAZ,(91)3222 7559 (91)3222 7560,www.famaz.edu.br,adriana@famaz.edu.br;ntae@ceuma.br;pesquisador@ceuma.br,Avenida Visconde de Souza Franco - 72 - CEP: 66053-000 - Reduto,Belém,PA,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,2007-08-20,4,2018,-,,4,2019,,,,Ativa
992,UNIFAMMA - UNIAO DE FACULDADES METROPOLITANAS DE MARINGA LTDA,03.125.509/0001-59,Privada com fins lucrativos,1508,Centro Universitário Metropolitano de Maringá (UNIFAMMA),UNIFAMMA,(44) 2101-5550,www.unifamma.edu.br,unifamma@unifamma.edu.br;evandro@unifamma.edu.br;daiane.boiago@unifamma.edu.br,Avenida Virgílio Manília - 22260 - CEP: 87070-170 - Jardim Ouro Cola,Maringá,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2000-05-26,4,2017,4,2016,3,2019,,,,Ativa
333,SOCIEDADE GUARULHENSE DE EDUCACAO,49.073.182/0001-10,Privada sem fins lucrativos,483,CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO (UNIMESP),UNIMESP,(11) 3544 0333 r. 202,www.fig.br,reitoria@fig.br,Rua Doutor Solon Fernandes - 155 - CEP: 07072-080 - Vila Rosália - Guarulhos,Guarulhos,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,1968-05-06,3,2017,5,2018,3,2019,,,,Ativa
521,SOCIEDADE EMPRESARIA DE ENSINO SUPERIOR DO LITORAL NORTE LTDA,50.005.735/0001-86,Privada com fins lucrativos,1187,CENTRO UNIVERSITÁRIO MÓDULO (MÓDULO),MÓDULO,(12) 3897 2018,www.modulo.edu.br,maria.furgeri@modulo.edu.br,Rua Maria D'Assumpção Carvalho - 1000 - CEP: 11662-700 - Jardim Itamar,Caraguatatuba,SP,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1987-12-15,4,2019,-,,3,2019,,,,Ativa
146,INSTITUICAO UNIVERSITARIA MOURA LACERDA,55.985.782/0001-57,Privada sem fins lucrativos,207,CENTRO UNIVERSITÁRIO MOURA LACERDA (CUML),CUML,(16) 2101 1167,www.mouralacerda.edu.br,reitoria@mouralacerda.edu.br;planejamento@mouralacerda.edu.br,Rua Padre Euclides - 995 - CEP: 14085-420 - Campos Elísios,Ribeirão Preto,SP,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1997-10-30,4,2015,-,,3,2019,,,,Ativa
2234,CENTRO UNIVERSITARIO MUNICIPAL DE FRANCA,47.987.136/0001-09,Pessoa Jurídica de Direito Público - Municipal,60,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA (UNI-FACEF),UNI-FACEF,16 37134688,www.unifacef.com.br,facef@facef.br; welton@facef.br; welton_roberto@yahoo.com.br,Avenida Major Nicácio - 2433 - CEP: 14401-135 - SÃO JOSÉ,Franca,SP,Centro Universitário,Presencial - Superior,Publica,Especial,1951-03-28,-,,-,,3,2019,,,,Ativa
3045,FUNDACAO EDUCACIONAL MUNICIPAL,07.159.202/0001-20,Pessoa Jurídica de Direito Público - Municipal,4756,CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ (USJ),USJ,48-33810010,www.usj.edu.br,renato.brittes@prof.usj.edu.br,Rua Silvia Maria Fabro - 97 - CEP: 88102-430 - Kobrasol,São José,SC,Centro Universitário,Presencial - Superior,Publica,Pública Municipal,2005-08-01,-,,-,,3,2019,,,,Ativa
588,ASPER ENSINO SUPERIOR DA PARAIBA LTDA.,11.888.849/0001-60,Privada com fins lucrativos,2908,CENTRO UNIVERSITÁRIO NATALENSE (UNICEUNA),UNICEUNA,(11)5586 4291,,bbrihy@unip.br;pigeral@unip.br;pigeral2020@gmail.com,Avenida Prudente de Morais - 4890 - CEP: 59063-200 - Lagoa Nova,Natal,RN,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2003-11-28,4,2019,-,,3,2019,,,Unificação de Mantidas,Ativa
239,INSTITUTO CULTURAL NEWTON PAIVA FERREIRA LTDA,16.521.155/0001-03,Privada com fins lucrativos,343,CENTRO UNIVERSITÁRIO NEWTON PAIVA (NEWTON PAIVA),NEWTON PAIVA,(31) 3516-2300/3516-2348,www.newtonpaiva.br,glaucia.nipar@newtonpaiva.br,Rua José Cláudio de Rezende - 80 - CEP: 30494-230 - Escoril,Belo Horizonte,MG,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1972-02-01,4,2014,3,2013,3,2019,,,,Ativa
1135,GRUPO NOBRE DE ENSINO LTDA,14.487.128/0001-36,Privada com fins lucrativos,1718,CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA,-,(75) 2102-9100,www.fan.com.br,vicepresidencia@gruponobre.net,Avenida Maria Quitéria - 2116 - CEP: 44001-008 - Centro,Feira de Santana,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2001-05-22,4,2018,5,2021,4,2019,,,,Ativa
827,ASSOCIACAO EDUCACIONAL NOSSA SENHORA APARECIDA - AENSA,74.036.161/0001-71,Privada sem fins lucrativos,1237,CENTRO UNIVERSITÁRIO NOSSA SENHORA APARECIDA (UNIFANAP),UNIFANAP,(62) 3277 1000,www.fanap.br,fanap@fanap.br,"AV. PEDRO LUIZ RIBEIRO QD. 01, LT. 01 - 01 - CEP: 74920-760 - CONJUNTO BELA MORADA",Aparecida de Goiânia,GO,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,1999-02-17,4,2019,-,,3,2019,,,Credenciamento EaD Provisório,Ativa
120,SOCIEDADE DE EDUCACAO NOSSA SENHORA DO PATROCINIO S/S LTDA,45.466.752/0001-80,Privada com fins lucrativos,1149,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO (CEUNSP),CEUNSP,(11) 4028-8352,www.ceunsp.edu.br,marcel.cardozo@ceunsp.edu.br,Rua do Patrocínio - 716 - CEP: 13300-200 - Centro,Itu,SP,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1958-08-12,4,2016,-,,4,2019,,,,Ativa
844,OPET ORGANIZACAO PARANAENSE DE ENSINO TECNICO LTDA,75.118.406/0001-72,Privada com fins lucrativos,5403,CENTRO UNIVERSITÁRIO OPET (Uniopet),Uniopet,(41)3028-2800,www.opet.com.br,normasanson@opet.com.br,"Av. Presidente Getúlio Vargas, nº 902 - - CEP: 80230-030 - Rebouças",Curitiba,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1999-01-18,4,2017,-,,3,2019,,,,Ativa
344,FUNDACAO PADRE ALBINO,47.074.851/0001-42,Privada sem fins lucrativos,5215,CENTRO UNIVERSITÁRIO PADRE ALBINO,-,(17) 3311-3209,www.unifipa.com.br,reitoria@unifipa.com.br,Rua dos Estudantes - 225 - CEP: 15809-144 - Parque Iracema,Catanduva,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,1969-06-10,4,2017,5,2019,4,2019,,,,Ativa
2500,ESCOLAS PADRE ANCHIETA LTDA,50.934.462/0001-54,Privada com fins lucrativos,4017,CENTRO UNIVERSITÁRIO PADRE ANCHIETA (UNIANCHIETA),UNIANCHIETA,(11) 4527-3444,www.anchieta.br,norbertofornari@uol.com.br; javasconcellos@anchieta.br; dirmant@anchieta.br,Avenida Dr. Adoniro Ladeira - 94 - CEP: 13210-800 - Vila Jundiainopolis,Jundiaí,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1966-07-18,5,2017,5,2018,3,2019,,,,Ativa
2141,FIUSA EDUCACIONAL S/SIMPLES LTDA - EPP,04.242.942/0001-37,Privada com fins lucrativos,3388,CENTRO UNIVERSITÁRIO PARAÍSO,-,(88) 3512 3299,www.fapce.com.br,fap@fapce.edu.br;joaoluisadv@yahoo.com.br;cariscallou@yahoo.com.br,Rua São Benedito - 344 - CEP: 63010-545 - São Miguel,Juazeiro do Norte,CE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,2005-04-20,5,2019,5,2018,4,2019,,,,Ativa
64,FUNDACAO UNIVERSIDADE PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI - UNIDAVI -,85.784.023/0001-97,Privada sem fins lucrativos,80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ (UNIDAVI),UNIDAVI,047 3531-6000,www.unidavi.edu.br,unidavi@unidavi.edu.br,Rua Dr. Guilherme Gemballa - 13 - CEP: 89160-932 - Jardim América,Rio do Sul,SC,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,1966-07-07,-,,5,2018,4,2019,,,,Ativa
